movie_index,similarity_score,movie_title
4,1.0,John Carter
1254,0.20497253140892002,Get Carter
4161,0.16370347641323713,The Marine 4: Moving Target
2932,0.12239400129620459,Raising Cain
3349,0.1188715104057236,Desperado
1307,0.11468689553107404,The Hurricane
3068,0.11237609168095009,Rescue Dawn
345,0.09079218287485015,Rush Hour 2
581,0.0900594125581888,Star Trek: Insurrection
2998,0.08877535757173034,Devil
4274,0.08576462030578073,Eddie: The Sleepwalking Cannibal
46,0.08574401380341932,X-Men: Days of Future Past
1735,0.08506583325352489,Ghosts of Mars
2755,0.08374900580033416,Earth to Echo
2968,0.08283973259290776,In the Land of Women
1057,0.07986162067710445,Coach Carter
85,0.07927219338261443,Captain America: The Winter Soldier
322,0.07826834318581481,The Fifth Element
1300,0.0775741581048838,The Ugly Truth
2300,0.07715566889765219,The Fall of the Roman Empire
2155,0.07713065113739952,The World's End
2417,0.07556384384487905,The Hills Have Eyes
694,0.07473047732188678,The Bourne Identity
2265,0.07144108050503811,People I Know
373,0.07112394697975578,Mission to Mars
3155,0.0677951781850077,Melancholia
2925,0.06693206038119996,A Walk to Remember
169,0.06572494101819237,Captain America: The First Avenger
91,0.0651131834515581,Independence Day: Resurgence
2944,0.06471967857461398,Army of Darkness
870,0.0645428835850544,Superman II
3373,0.0642977590759945,The Other Side of Heaven
3764,0.06417057137204367,Topaz
127,0.06404845195093838,Mad Max: Fury Road
3270,0.06326978138321862,Howards End
1791,0.06326874758473129,Legion
1709,0.06313109940882292,Space Pirate Captain Harlock
3948,0.06309849115527628,Creature
487,0.06275480086880951,Red Planet
3072,0.06254296845490362,Atlas Shrugged Part II
2966,0.06244708472318927,2001: A Space Odyssey
2192,0.06155506525140263,The Greatest Story Ever Told
158,0.06136006069574056,Star Trek
773,0.061066711999447534,Flyboys
454,0.06061066997406978,The Day the Earth Stood Still
404,0.06030226569885218,Memoirs of a Geisha
1891,0.060013273867329825,Dear John
1341,0.059802355537906714,The Inhabited Island
294,0.059721269746251145,Epic
529,0.059526904600089574,Tears of the Sun
3133,0.05937298619423642,The Devil's Tomb
4097,0.058831920192176236,We Are Your Friends
4224,0.05869546870217261,Insidious
473,0.058497267300910136,Mars Attacks!
47,0.058371155807943484,Star Trek Into Darkness
162,0.05810181561753072,Stealth
2053,0.058029950805801894,Joyeux Noël
2909,0.0579971995672691,The Cry of the Owl
1048,0.05717005252633111,The Bucket List
4385,0.05699388688682169,Lisa Picard Is Famous
4176,0.056926597746629615,Battle for the Planet of the Apes
2341,0.056191576277169884,Catch-22
1793,0.055380237446001124,In Good Company
500,0.05508082020613065,2 Fast 2 Furious
54,0.05507303144082838,The Good Dinosaur
1564,0.054738736739959486,Legends of the Fall
155,0.054655992734729264,Fun with Dick and Jane
2900,0.054617797857307894,Space Battleship Yamato
58,0.05443728954478384,Rush Hour 3
3914,0.05435542991795838,Judgment at Nuremberg
724,0.054322753463979266,Man on Fire
26,0.05387465159298631,Captain America: Civil War
4131,0.05384776457560079,Circle
50,0.05348134003905951,Prince of Persia: The Sands of Time
1319,0.05333628005764863,Riddick
755,0.05331245188203114,Star Trek: Nemesis
1440,0.05298053790994368,Flight of the Intruder
270,0.052891740550818675,The Martian
27,0.05231039324590807,Battleship
848,0.052165534785364544,The Pirates! In an Adventure with Scientists!
1917,0.05200018993083395,The 33
2611,0.051953265848101456,Whatever It Takes
1974,0.05187846387993068,"Girl, Interrupted"
4651,0.05179729593522398,The Sticky Fingers of Time
3568,0.0515908985701322,"20,000 Leagues Under the Sea"
228,0.05095192690216123,Oblivion
748,0.050199085344710764,Year One
1877,0.04990601827546669,Tora! Tora! Tora!
1201,0.049775771456881196,Predators
107,0.04975088891450889,Warcraft
2663,0.049334353776528804,Freedom
812,0.049236331381815546,Pocahontas
3105,0.04920459378911003,Imaginary Heroes
1695,0.0483365667331781,Aladdin
443,0.048233119854634424,Bedtime Stories
1079,0.04783489410872849,Dune
2433,0.047568716691199296,Superman IV: The Quest for Peace
4653,0.047527472904555876,Rust
653,0.04738819009897712,This Means War
977,0.047246371657779895,The Iron Giant
1768,0.0471230283849439,Martian Child
1599,0.04703359413675343,The Age of Adaline
1959,0.04671520075103079,Star Trek IV: The Voyage Home
3899,0.046623171934199376,Beneath the Planet of the Apes
2281,0.04660595216685848,A Cinderella Story
3953,0.04601420885589027,Fort McCoy
200,0.04573250153848859,The Hunger Games: Mockingjay - Part 1
76,0.04563868300474624,G.I. Joe: The Rise of Cobra
3725,0.0455618643619885,The Sweeney
1559,0.04544793418888482,The Notebook
1525,0.04540951301853089,Apocalypse Now
607,0.04538169103402194,Sky Captain and the World of Tomorrow
16,0.045257098111540495,The Avengers
666,0.045128950472429534,"I, Frankenstein"
2587,0.04499925826253405,Killing Them Softly
2832,0.04479415939628471,The Eye
4062,0.044733645888771066,The Best Years of Our Lives
671,0.04455634054190102,Everest
2134,0.04437455655485942,This Is Where I Leave You
174,0.044059407675698686,The Incredible Hulk
592,0.04403661344701933,Seven Years in Tibet
2492,0.04392876030026831,Steel
108,0.043752278061972745,Terminator Genisys
1092,0.043469955475036674,The Ghost Writer
4197,0.04342090677556619,My Summer of Love
4644,0.04333490372784353,Teeth and Blood
3339,0.043259602684424234,(500) Days of Summer
115,0.04296474509718628,Hancock
3129,0.042870605098225316,Jungle Shuffle
192,0.04264162048414869,Australia
2444,0.04257730012285965,Damnation Alley
